"ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"220012_at","ERO1-like beta (S. cerevisiae)","ERO1LB","56605","","","","Homo sapiens ERO1-like beta (S. cerevisiae) (ERO1LB), mRNA","239582760","NM_019891","","","","1q42.2-q43","Chromosome 1, NC_000001.10 (236378422..236445339, complement)","flavin adenine dinucleotide binding///oxidoreductase activity///oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor///protein disulfide isomerase activity///unfolded protein binding","electron transport chain///protein folding","endoplasmic reticulum///endoplasmic reticulum membrane","GO:0050660///GO:0016491///GO:0016671///GO:0003756///GO:0051082","GO:0022900///GO:0006457","GO:0005783///GO:0005789",-2.5387869047619,7.24244076923077,-7.2745005065197,4.40037645374393e-06,0.0078558902200395,4.46797919308752
"202169_s_at","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","AASDHPPT","60496","","","","Homo sapiens alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase mRNA, complete cds","11120434","AF302110","","","","11q22","Chromosome 11, NC_000011.9 (105948292..105969419)","holo-[acyl-carrier-protein] synthase activity///magnesium ion binding///protein binding","macromolecule biosynthetic process///pantothenate metabolic process///small molecule metabolic process///vitamin metabolic process///water-soluble vitamin metabolic process","cytosol","GO:0008897///GO:0000287///GO:0005515","GO:0009059///GO:0015939///GO:0044281///GO:0006766///GO:0006767","GO:0005829",-1.97812547619047,6.19953615384615,-7.19602168378123,4.96367017711974e-06,0.0078558902200395,4.35939634428146
"208773_s_at","ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1","ANKHD1-EIF4EBP3///ANKHD1","404734///54882","","","","Homo sapiens mRNA; cDNA DKFZp586G1024 (from clone DKFZp586G1024)","12053380","AL136943","","","","5q31.3///5q31.3","Chromosome 5, NC_000005.9 (139781399..139929163)///Chromosome 5, NC_000005.9 (139781399..139919441)","RNA binding///protein binding","","cytoplasm///NOT nucleolus///nucleus","GO:0003723///GO:0005515","","GO:0005737///NOT GO:0005730///GO:0005634",-1.66919428571429,6.28706692307692,-7.18982614348952,5.01126814588741e-06,0.0078558902200395,4.35078339895108
"203376_at","cell division cycle 40","CDC40","51362","","","","602579703F1 NIH_MGC_60 Homo sapiens cDNA clone IMAGE:4713600 5-, mRNA sequence","13520355","BG528818","","","","6q21","Chromosome 6, NC_000006.11 (110501624..110553423)","","RNA splicing///gene expression///mRNA 3'-end processing///mRNA export from nucleus///mRNA splicing, via spliceosome///mRNA splicing, via spliceosome///termination of RNA polymerase II transcription///transcription from RNA polymerase II promoter","catalytic step 2 spliceosome///nucleoplasm///spliceosomal complex","","GO:0008380///GO:0010467///GO:0031124///GO:0006406///GO:0000398///GO:0000398///GO:0006369///GO:0006366","GO:0071013///GO:0005654///GO:0005681",-1.39110261904762,6.66274692307692,-7.16198474437609,5.23118454687158e-06,0.0078558902200395,4.31200476775329
"201923_at","peroxiredoxin 4","PRDX4","10549","","","","Homo sapiens peroxiredoxin 4 (PRDX4), mRNA","5453548","NM_006406","","","","Xp22.11","Chromosome X, NC_000023.10 (23685645..23704514)","protein binding///thioredoxin peroxidase activity","I-kappaB phosphorylation///reactive oxygen species metabolic process","extracellular space///mitochondrion","GO:0005515///GO:0008379","GO:0007252///GO:0072593","GO:0005615///GO:0005739",-1.92750309523809,9.16064461538462,-7.12551475841481,5.53477433034228e-06,0.0078558902200395,4.26102459316047
"210027_s_at","APEX nuclease (multifunctional DNA repair enzyme) 1","APEX1","328","","","","Human apurinic endonuclease (APE) mRNA, complete cds","178742","M80261","","","","14q11.2","Chromosome 14, NC_000014.8 (20923290..20925931)","3'-5' exonuclease activity///3'-5' exonuclease activity///DNA binding///DNA-(apurinic or apyrimidinic site) lyase activity///DNA-(apurinic or apyrimidinic site) lyase activity///NF-kappaB binding///RNA binding///chromatin DNA binding///damaged DNA binding///endodeoxyribonuclease activity///endonuclease activity///metal ion binding///oxidoreductase activity///phosphodiesterase I activity///phosphoric diester hydrolase activity///protein binding///protein complex binding///ribonuclease H activity///site-specific endodeoxyribonuclease activity, specific for altered base///transcription coactivator activity///transcription corepressor activity///uracil DNA N-glycosylase activity","DNA demethylation///DNA recombination///DNA repair///DNA repair///aging///base-excision repair///cell redox homeostasis///cellular response to cAMP///cellular response to hydrogen peroxide///cellular response to peptide hormone stimulus///negative regulation of smooth muscle cell migration///oxidation-reduction process///positive regulation of DNA repair///regulation of mRNA stability///regulation of transcription, DNA-dependent///response to drug///transcription, DNA-dependent","centrosome///cytoplasm///endoplasmic reticulum///mitochondrion///nuclear speck///nucleolus///nucleoplasm///nucleoplasm///nucleus///perinuclear region of cytoplasm///ribosome///transcription factor complex","GO:0008408///GO:0008408///GO:0003677///GO:0003906///GO:0003906///GO:0051059///GO:0003723///GO:0031490///GO:0003684///GO:0004520///GO:0004519///GO:0046872///GO:0016491///GO:0004528///GO:0008081///GO:0005515///GO:0032403///GO:0004523///GO:0016890///GO:0003713///GO:0003714///GO:0004844","GO:0080111///GO:0006310///GO:0006281///GO:0006281///GO:0007568///GO:0006284///GO:0045454///GO:0071320///GO:0070301///GO:0071375///GO:0014912///GO:0055114///GO:0045739///GO:0043488///GO:0006355///GO:0042493///GO:0006351","GO:0005813///GO:0005737///GO:0005783///GO:0005739///GO:0016607///GO:0005730///GO:0005654///GO:0005654///GO:0005634///GO:0048471///GO:0005840///GO:0005667",-1.39005642857143,8.98776692307692,-7.11327149433256,5.64081333396006e-06,0.0078558902200395,4.24386345673912
"203405_at","proteasome (prosome, macropain) assembly chaperone 1","PSMG1","8624","","","","Homo sapiens proteasome (prosome, macropain) assembly chaperone 1 (PSMG1), transcript variant 1, mRNA","387849309","NM_003720","","","","21q22.3","Chromosome 21, NC_000021.8 (40547372..40555440, complement)","protein binding","proteasome assembly","cytoplasm///endoplasmic reticulum","GO:0005515","GO:0043248","GO:0005737///GO:0005783",-1.42796833333333,5.94260769230769,-6.88253402610508,8.09614478455979e-06,0.00950005751056995,3.91602980363071
"207062_at","islet amyloid polypeptide","IAPP","3375","","","","Homo sapiens islet amyloid polypeptide (IAPP), mRNA","223718173","NM_000415","","","","12p12.1","Chromosome 12, NC_000012.11 (21525802..21532914)","hormone activity///receptor binding","apoptotic process///cell-cell signaling///endocrine pancreas development///negative regulation of bone resorption///negative regulation of cell differentiation///sensory perception of pain///signal transduction","extracellular region///extracellular space///neuronal cell body","GO:0005179///GO:0005102","GO:0006915///GO:0007267///GO:0031018///GO:0045779///GO:0045596///GO:0019233///GO:0007165","GO:0005576///GO:0005615///GO:0043025",-3.54687071428571,10.0072684615385,-6.85667057597329,8.43453868698073e-06,0.00950005751056995,3.8787577079568
"200883_at","ubiquinol-cytochrome c reductase core protein II","UQCRC2","7385","","","","Homo sapiens ubiquinol-cytochrome c reductase core protein II (UQCRC2), nuclear gene encoding mitochondrial protein, mRNA","50592987","NM_003366","","","","16p12","Chromosome 16, NC_000016.9 (21964609..21994668)","metal ion binding///metalloendopeptidase activity///protein binding///protein complex binding","aerobic respiration///cellular metabolic process///oxidative phosphorylation///proteolysis///respiratory electron transport chain///small molecule metabolic process","mitochondrial inner membrane///mitochondrial respiratory chain complex III///mitochondrion","GO:0046872///GO:0004222///GO:0005515///GO:0032403","GO:0009060///GO:0044237///GO:0006119///GO:0006508///GO:0022904///GO:0044281","GO:0005743///GO:0005750///GO:0005739",-2.38601095238095,5.96537846153846,-6.82656202729748,8.84733196976299e-06,0.00950005751056995,3.83523395369929
"211666_x_at","ribosomal protein L3","RPL3","6122","","","","Homo sapiens HIV-1 TAR RNA binding protein (TARBP-b) mRNA, complete cds","347963","L22453","","","","22q13","Chromosome 22, NC_000022.10 (39708887..39715670, complement)","RNA binding///structural constituent of ribosome","RNA metabolic process///SRP-dependent cotranslational protein targeting to membrane///cellular protein metabolic process///cellular response to interleukin-4///gene expression///mRNA metabolic process///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///translation///translation///translational elongation///translational initiation///translational termination///viral infectious cycle///viral process///viral transcription","cytoplasm///cytosol///cytosolic large ribosomal subunit///nucleolus","GO:0003723///GO:0003735","GO:0016070///GO:0006614///GO:0044267///GO:0071353///GO:0010467///GO:0016071///GO:0000184///GO:0006412///GO:0006412///GO:0006414///GO:0006413///GO:0006415///GO:0019058///GO:0016032///GO:0019083","GO:0005737///GO:0005829///GO:0022625///GO:0005730",-1.75269476190476,10.2788353846154,-6.75893101509843,9.85410383626224e-06,0.00950005751056995,3.73694255834923
"208801_at","signal recognition particle 72kDa","SRP72","6731","","","","7f93h03.x1 NCI_CGAP_Brn23 Homo sapiens cDNA clone IMAGE:3304565 3-, mRNA sequence","10369357","BE856385","","","","4q11","Chromosome 4, NC_000004.11 (57333762..57369847)","7S RNA binding///signal recognition particle binding","SRP-dependent cotranslational protein targeting to membrane///cellular protein metabolic process///gene expression///response to drug///translation","cytoplasm///cytosol///endoplasmic reticulum///nucleolus///plasma membrane///signal recognition particle, endoplasmic reticulum targeting","GO:0008312///GO:0005047","GO:0006614///GO:0044267///GO:0010467///GO:0042493///GO:0006412","GO:0005737///GO:0005829///GO:0005783///GO:0005730///GO:0005886///GO:0005786",-1.56968380952381,8.43415769230769,-6.72815455773156,1.0351542444527e-05,0.00950005751056995,3.69197191977537
"220642_x_at","G protein-coupled receptor 89C///G protein-coupled receptor 89A///G protein-coupled receptor 89B","GPR89C///GPR89A///GPR89B","728932///653519///51463","","","","Homo sapiens G protein-coupled receptor 89B (GPR89B), mRNA","148230342","NM_016334","","","","1q21.1///1q21.1///1q21.1","Chromosome 1, NC_000001.10 (145883868..145924049)///Chromosome 1, NC_000001.10 (145764595..145827103, complement)///Chromosome 1, NC_000001.10 (147400506..147465753)","signal transducer activity///voltage-gated anion channel activity///voltage-gated ion channel activity","intracellular pH reduction///positive regulation of I-kappaB kinase/NF-kappaB cascade///protein transport///regulation of anion transport///signal transduction///protein transport","integral to membrane///Golgi cisterna membrane///Golgi-associated vesicle membrane///integral to membrane///Golgi membrane///integral to membrane","GO:0004871///GO:0008308///GO:0005244","GO:0051452///GO:0043123///GO:0015031///GO:0044070///GO:0007165///GO:0015031","GO:0016021///GO:0032580///GO:0030660///GO:0016021///GO:0000139///GO:0016021",-1.27020333333333,7.02625230769231,-6.72620996565371,1.0383847929045e-05,0.00950005751056995,3.6891253910829
"208631_s_at","hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit","HADHA","3030","","","","Human 78 kDa gastrin-binding protein mRNA, complete cds","595266","U04627","","","","2p23","Chromosome 2, NC_000002.11 (26413504..26467594, complement)","3-hydroxyacyl-CoA dehydrogenase activity///NAD binding///acetyl-CoA C-acetyltransferase activity///enoyl-CoA hydratase activity///fatty-acyl-CoA binding///long-chain-3-hydroxyacyl-CoA dehydrogenase activity///long-chain-enoyl-CoA hydratase activity///protein binding///protein complex binding","cardiolipin acyl-chain remodeling///cellular lipid metabolic process///fatty acid beta-oxidation///fatty acid beta-oxidation///glycerophospholipid biosynthetic process///phospholipid metabolic process///response to drug///response to insulin stimulus///small molecule metabolic process","cytoplasm///mitochondrial fatty acid beta-oxidation multienzyme complex///mitochondrial inner membrane///mitochondrial nucleoid///mitochondrion///nucleolus","GO:0003857///GO:0051287///GO:0003985///GO:0004300///GO:0000062///GO:0016509///GO:0016508///GO:0005515///GO:0032403","GO:0035965///GO:0044255///GO:0006635///GO:0006635///GO:0046474///GO:0006644///GO:0042493///GO:0032868///GO:0044281","GO:0005737///GO:0016507///GO:0005743///GO:0042645///GO:0005739///GO:0005730",-1.35040904761904,7.13902,-6.70077929228109,1.08162353316684e-05,0.00950005751056995,3.65184383000167
"217927_at","signal peptidase complex subunit 1 homolog (S. cerevisiae)","SPCS1","28972","","","","Homo sapiens signal peptidase complex subunit 1 homolog (S. cerevisiae) (SPCS1), mRNA","193290127","NM_014041","","","","3p21.1","Chromosome 3, NC_000003.11 (52739857..52742198)","molecular_function///peptidase activity///ribosome binding","SRP-dependent cotranslational protein targeting to membrane///cellular protein metabolic process///gene expression///proteolysis///regulation of insulin secretion///signal peptide processing///translation","endoplasmic reticulum membrane///integral to endoplasmic reticulum membrane///signal peptidase complex","GO:0003674///GO:0008233///GO:0043022","GO:0006614///GO:0044267///GO:0010467///GO:0006508///GO:0050796///GO:0006465///GO:0006412","GO:0005789///GO:0030176///GO:0005787",-1.80783523809524,8.99221307692308,-6.68427700998875,1.1106923923662e-05,0.00950005751056995,3.62759597582738
"206958_s_at","UPF3 regulator of nonsense transcripts homolog A (yeast)","UPF3A","65110","","","","Homo sapiens UPF3 (UPF3) mRNA, complete cds","12620405","AF318575","","","","13q34","Chromosome 13, NC_000013.10 (115047059..115071292)","RNA binding///nucleocytoplasmic transporter activity///nucleotide binding///protein binding","RNA metabolic process///gene expression///mRNA metabolic process///mRNA transport///NOT nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///nucleocytoplasmic transport///positive regulation of translation","cytoplasm///cytoplasm///cytosol///colocalizes_with exon-exon junction complex///colocalizes_with exon-exon junction complex///NOT nucleolus///nucleus///nucleus///plasma membrane","GO:0003723///GO:0005487///GO:0000166///GO:0005515","GO:0016070///GO:0010467///GO:0016071///GO:0051028///NOT GO:0000184///GO:0000184///GO:0000184///GO:0006913///GO:0045727","GO:0005737///GO:0005737///GO:0005829///colocalizes_with GO:0035145///colocalizes_with GO:0035145///NOT GO:0005730///GO:0005634///GO:0005634///GO:0005886",-2.13392166666666,5.07143307692308,-6.67405422107191,1.12911136625418e-05,0.00950005751056995,3.61255310142598
"215416_s_at","stomatin (EPB72)-like 2","STOML2","30968","","","","","","","","","","9p13.1","Chromosome 9, NC_000009.11 (35099893..35103154, complement)","cardiolipin binding///protein binding///receptor binding","CD4-positive, alpha-beta T cell activation///T cell receptor signaling pathway///cellular calcium ion homeostasis///interleukin-2 production///lipid localization///mitochondrial ATP synthesis coupled proton transport///mitochondrial calcium ion transport///mitochondrial protein processing///mitochondrion organization///positive regulation of cardiolipin metabolic process///positive regulation of mitochondrial DNA replication///positive regulation of mitochondrial membrane potential///protein oligomerization///stress-induced mitochondrial fusion","colocalizes_with T cell receptor complex///colocalizes_with actin cytoskeleton///cytoskeleton///extrinsic to plasma membrane///colocalizes_with immunological synapse///membrane raft///mitochondrial inner membrane///mitochondrial intermembrane space///colocalizes_with signalosome","GO:1901612///GO:0005515///GO:0005102","GO:0035710///GO:0050852///GO:0006874///GO:0032623///GO:0010876///GO:0042776///GO:0006851///GO:0034982///GO:0007005///GO:1900210///GO:0090297///GO:0010918///GO:0051259///GO:1990046","colocalizes_with GO:0042101///colocalizes_with GO:0015629///GO:0005856///GO:0019897///colocalizes_with GO:0001772///GO:0045121///GO:0005743///GO:0005758///colocalizes_with GO:0008180",-1.23687547619047,6.87734153846154,-6.64880093282645,1.17600307597786e-05,0.00950005751056995,3.57532099588995
"208638_at","protein disulfide isomerase family A, member 6","PDIA6","10130","","","","601498050F1 NIH_MGC_70 Homo sapiens cDNA clone IMAGE:3899869 5-, mRNA sequence","10406176","BE910010","","","","2p25.1","Chromosome 2, NC_000002.11 (10923517..10952960, complement)","electron carrier activity///protein binding///protein disulfide isomerase activity///protein disulfide oxidoreductase activity","activation of signaling protein activity involved in unfolded protein response///cell redox homeostasis///cellular protein metabolic process///endoplasmic reticulum unfolded protein response///glycerol ether metabolic process///protein folding","endoplasmic reticulum///endoplasmic reticulum lumen///endoplasmic reticulum membrane///endoplasmic reticulum-Golgi intermediate compartment///melanosome///plasma membrane","GO:0009055///GO:0005515///GO:0003756///GO:0015035","GO:0006987///GO:0045454///GO:0044267///GO:0030968///GO:0006662///GO:0006457","GO:0005783///GO:0005788///GO:0005789///GO:0005793///GO:0042470///GO:0005886",-2.16089119047618,8.95346846153846,-6.64656441978682,1.18025359792259e-05,0.00950005751056995,3.57201867103375
"213384_x_at","phospholipase C, beta 3 (phosphatidylinositol-specific)","PLCB3","5331","","","","H.sapiens gene for phospholipase C beta 3, exon 1","609185","Z37544","","","","11q13","Chromosome 11, NC_000011.9 (64018995..64036924)","calcium ion binding///calmodulin binding///phosphatidylinositol phospholipase C activity///phospholipase C activity///signal transducer activity","inositol phosphate metabolic process///intracellular signal transduction///lipid catabolic process///regulation of systemic arterial blood pressure///small molecule metabolic process///synaptic transmission","cytosol///membrane///protein complex","GO:0005509///GO:0005516///GO:0004435///GO:0004629///GO:0004871","GO:0043647///GO:0035556///GO:0016042///GO:0003073///GO:0044281///GO:0007268","GO:0005829///GO:0016020///GO:0043234",0.730055952380955,5.29339461538462,6.62523452513898,1.221613037827e-05,0.00950005751056995,3.54048367968364
"202178_at","protein kinase C, zeta","PRKCZ","5590","","","","Homo sapiens protein kinase C, zeta (PRKCZ), transcript variant 1, mRNA","75709224","NM_002744","","","","1p36.33-p36.2","Chromosome 1, NC_000001.10 (1981909..2116834)","14-3-3 protein binding///ATP binding///insulin receptor substrate binding///phospholipase binding///potassium channel regulator activity///protein binding///protein domain specific binding///protein kinase C activity///protein kinase activity///protein kinase binding///protein serine/threonine kinase activity///zinc ion binding","actin cytoskeleton reorganization///activation of phospholipase D activity///activation of protein kinase B activity///blood coagulation///cell migration///establishment of cell polarity///inflammatory response///insulin receptor signaling pathway///long-term memory///long-term synaptic potentiation///membrane hyperpolarization///microtubule cytoskeleton organization///negative regulation of apoptotic process///negative regulation of hydrolase activity///negative regulation of insulin receptor signaling pathway///negative regulation of peptidyl-tyrosine phosphorylation///negative regulation of protein complex assembly///peptidyl-serine phosphorylation///platelet activation///positive regulation of ERK1 and ERK2 cascade///positive regulation of NF-kappaB transcription factor activity///positive regulation of T-helper 2 cell cytokine production///positive regulation of T-helper 2 cell differentiation///positive regulation of cell proliferation///positive regulation of cell-matrix adhesion///positive regulation of excitatory postsynaptic membrane potential///positive regulation of glucose import///positive regulation of insulin receptor signaling pathway///positive regulation of interleukin-10 secretion///positive regulation of interleukin-13 secretion///positive regulation of interleukin-4 production///positive regulation of interleukin-5 secretion///protein heterooligomerization///protein kinase C signaling cascade///protein localization to plasma membrane///protein phosphorylation///signal transduction///transforming growth factor beta receptor signaling pathway///vesicle transport along microtubule","apical cortex///apical plasma membrane///cell junction///cell leading edge///cell-cell junction///cytoplasm///cytosol///endosome///membrane///membrane raft///myelin sheath abaxonal region///nuclear envelope///nuclear matrix///perinuclear region of cytoplasm///plasma membrane///protein complex///tight junction","GO:0071889///GO:0005524///GO:0043560///GO:0043274///GO:0015459///GO:0005515///GO:0019904///GO:0004697///GO:0004672///GO:0019901///GO:0004674///GO:0008270","GO:0031532///GO:0031584///GO:0032148///GO:0007596///GO:0016477///GO:0030010///GO:0006954///GO:0008286///GO:0007616///GO:0060291///GO:0060081///GO:0000226///GO:0043066///GO:0051346///GO:0046627///GO:0050732///GO:0031333///GO:0018105///GO:0030168///GO:0070374///GO:0051092///GO:2000553///GO:0045630///GO:0008284///GO:0001954///GO:2000463///GO:0046326///GO:0046628///GO:2001181///GO:2000667///GO:0032753///GO:2000664///GO:0051291///GO:0070528///GO:0072659///GO:0006468///GO:0007165///GO:0007179///GO:0047496","GO:0045179///GO:0016324///GO:0030054///GO:0031252///GO:0005911///GO:0005737///GO:0005829///GO:0005768///GO:0016020///GO:0045121///GO:0035748///GO:0005635///GO:0016363///GO:0048471///GO:0005886///GO:0043234///GO:0005923",0.81449047619048,7.06540153846154,6.61780444937614,1.23637601672364e-05,0.00950005751056995,3.52948160437018
"204744_s_at","isoleucyl-tRNA synthetase","IARS","3376","","","","Homo sapiens isoleucyl-tRNA synthetase (IARS), transcript variant 2, mRNA","422398963","NM_013417","","","","9q21","Chromosome 9, NC_000009.11 (94972625..95056038, complement)","ATP binding///aminoacyl-tRNA editing activity///isoleucine-tRNA ligase activity///protein binding","gene expression///isoleucyl-tRNA aminoacylation///tRNA aminoacylation for protein translation","cytoplasm///cytosol///NOT nucleolus///nucleus","GO:0005524///GO:0002161///GO:0004822///GO:0005515","GO:0010467///GO:0006428///GO:0006418","GO:0005737///GO:0005829///NOT GO:0005730///GO:0005634",-1.83449928571428,8.44275230769231,-6.5718367868622,1.33198305262209e-05,0.00966784082782935,3.46121793855415
